"Start_Position"	"Hugo_Symbol"	"Variant_Classification"	"ShortVariantID"	"Freq"	"Heteroplasmy"	"Cancertype"
"15"	611	"MT-TF"	"5'Flank"	"G:611:A"	"5"	0.0581402641861801	"BLADDER(< 5),COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),LUNG(< 5),SARCOMA(< 5)"
"16"	611	"MT-TF"	"5'Flank"	"G:611:C"	"< 5"	0.0273855064173608	"COLORECTAL(< 5)"
"17"	616	"MT-TF"	"5'Flank"	"T:616:C"	"< 5"	0.294810458431628	"COLORECTAL(< 5),RENAL(< 5),SARCOMA(< 5)"
"18"	617	"MT-TF"	"5'Flank"	"G:617:A"	"7"	0.10928034756348	"BLADDER(< 5),COLORECTAL(< 5),LUNG(< 5),PROSTATE(< 5),RENAL(< 5)"
"19"	618	"MT-TF"	"5'Flank"	"T:618:C"	"< 5"	0.0354589411910567	"LUNG(< 5)"
"20"	622	"MT-TF"	"5'Flank"	"G:622:A"	"10"	0.399248948572521	"ADULT_GLIOMA(< 5),BREAST(< 5),COLORECTAL(< 5),ENDOCRINE(< 5),OVARIAN(< 5),RENAL(< 5),SARCOMA(< 5)"
"21"	622	"MT-TF"	"5'Flank"	"G:622:C"	"< 5"	0.134864197927332	"COLORECTAL(< 5),RENAL(< 5)"
"22"	625	"MT-TF"	"5'Flank"	"G:625:A"	"< 5"	0.0183595494467325	"BREAST(< 5)"
"23"	625	"MT-TF"	"5'Flank"	"G:625:T"	"< 5"	0.32825354427817	"BREAST(< 5),RENAL(< 5)"
"24"	626	"MT-TF"	"5'Flank"	"G:626:A"	"5"	0.169809554996885	"ADULT_GLIOMA(< 5),BLADDER(< 5),BREAST(< 5),COLORECTAL(< 5),PROSTATE(< 5)"
"25"	627	"MT-TF"	"5'Flank"	"G:627:A"	"11"	0.33134062591776	"BLADDER(< 5),BREAST(< 5),COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),LUNG(< 5),OVARIAN(< 5),PROSTATE(< 5),RENAL(< 5)"
"26"	639	"MT-TF"	"5'Flank"	"C:639:A"	"< 5"	0.0107232968881413	"HAEMONC(< 5)"
"27"	639	"MT-TF"	"5'Flank"	"C:639:T"	"< 5"	0.154391238995061	"LUNG(< 5)"
"28"	640	"MT-TF"	"5'Flank"	"C:640:T"	"< 5"	0.0107393907836501	"LUNG(< 5)"
"29"	641	"MT-TF"	"5'Flank"	"A:641:C"	"< 5"	0.0761845582474663	"BREAST(< 5),COLORECTAL(< 5)"
"30"	641	"MT-TF"	"5'Flank"	"A:641:G"	"< 5"	0.0525410002024701	"COLORECTAL(< 5)"
"31"	642	"MT-TF"	"5'Flank"	"T:642:C"	"< 5"	0.149190670975168	"COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5)"
"32"	645	"MT-TF"	"5'Flank"	"A:645:G"	"< 5"	0.648818407960199	"LUNG(< 5)"
"33"	646	"MT-TF"	"5'Flank"	"C:646:T"	"< 5"	0.0119250425894378	"BREAST(< 5)"
"34"	650	"MT-RNR1"	"5'Flank"	"T:650:C"	"< 5"	0.0336176225165958	"BLADDER(< 5),COLORECTAL(< 5)"
"35"	651	"MT-RNR1"	"5'Flank"	"A:651:T"	"< 5"	0.741666105461647	"RENAL(< 5)"
"36"	652	"MT-RNR1"	"5'Flank"	"G:652:A"	"10"	0.128889459107618	"BLADDER(< 5),BREAST(< 5),CHILDHOOD(< 5),COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),LUNG(< 5),OVARIAN(< 5),RENAL(< 5)"
"37"	653	"MT-RNR1"	"5'Flank"	"G:653:A"	"12"	0.219930494852363	"BREAST(< 5),COLORECTAL(< 5),LUNG(< 5),PROSTATE(< 5),UPPER_GASTROINTESTINAL(< 5)"
"38"	653	"MT-RNR1"	"5'Flank"	"G:653:C"	"< 5"	0.557463672391017	"COLORECTAL(< 5)"
"39"	654	"MT-RNR1"	"5'Flank"	"T:654:C"	"6"	0.205676189640881	"ADULT_GLIOMA(< 5),BREAST(< 5),COLORECTAL(< 5),RENAL(< 5)"
"40"	654	"MT-RNR1"	"5'Flank"	"T:654:G"	"< 5"	0.129055627369727	"HAEMONC(< 5),SARCOMA(< 5)"
"41"	655	"MT-RNR1"	"5'Flank"	"T:655:C"	"< 5"	0.32110792399751	"COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),LUNG(< 5)"
"42"	656	"MT-RNR1"	"5'Flank"	"T:656:C"	"< 5"	0.0981394299100801	"BLADDER(< 5),BREAST(< 5),HAEMONC(< 5),LUNG(< 5)"
"43"	657	"MT-RNR1"	"5'Flank"	"G:657:A"	"12"	0.212711883062706	"BREAST(7),COLORECTAL(< 5),LUNG(< 5),OVARIAN(< 5),RENAL(< 5)"
"44"	658	"MT-RNR1"	"5'Flank"	"G:658:A"	"9"	0.283788201057431	"BREAST(< 5),COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),LUNG(< 5),OVARIAN(< 5),PROSTATE(< 5)"
"45"	658	"MT-RNR1"	"5'Flank"	"G:658:C"	"< 5"	0.0405085110967464	"BLADDER(< 5)"
"46"	659	"MT-RNR1"	"5'Flank"	"T:659:C"	"8"	0.212367234102276	"COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),LUNG(< 5),PROSTATE(< 5),RENAL(< 5)"
"47"	660	"MT-RNR1"	"5'Flank"	"C:660:T"	"< 5"	0.050620607148198	"COLORECTAL(< 5)"
"48"	661	"MT-RNR1"	"5'Flank"	"C:661:T"	"< 5"	0.0281762057280787	"RENAL(< 5)"
"49"	663	"MT-RNR1"	"5'Flank"	"A:663:G"	"< 5"	0.0188398611799703	"OVARIAN(< 5)"
"50"	664	"MT-RNR1"	"5'Flank"	"G:664:A"	"17"	0.153601647504024	"BLADDER(< 5),BREAST(< 5),COLORECTAL(< 5),HAEMONC(< 5),LUNG(7),ORAL_OROPHARYNGEAL(< 5),OVARIAN(< 5),RENAL(< 5),SARCOMA(< 5)"
"51"	664	"MT-RNR1"	"5'Flank"	"G:664:C"	"< 5"	0.0132117849121416	"ENDOMETRIAL_CARCINOMA(< 5)"
"52"	665	"MT-RNR1"	"5'Flank"	"C:665:T"	"< 5"	0.28174552293029	"LUNG(< 5)"
"53"	667	"MT-RNR1"	"5'Flank"	"T:667:C"	"5"	0.352358027123751	"ENDOMETRIAL_CARCINOMA(< 5),HAEMONC(< 5),LUNG(< 5),RENAL(< 5)"
"54"	668	"MT-RNR1"	"5'Flank"	"T:668:C"	"< 5"	0.09921392476137	"BREAST(< 5)"
"55"	669	"MT-RNR1"	"5'Flank"	"T:669:C"	"18"	0.197262037009725	"ADULT_GLIOMA(< 5),BREAST(5),COLORECTAL(5),HAEMONC(< 5),HEPATOPANCREATOBILIARY(< 5),LUNG(< 5),ORAL_OROPHARYNGEAL(< 5),OVARIAN(< 5),RENAL(< 5)"
"56"	670	"MT-RNR1"	"5'Flank"	"C:670:T"	"< 5"	0.0969329511149446	"RENAL(< 5)"
"57"	671	"MT-RNR1"	"5'Flank"	"T:671:C"	"< 5"	0.221528557609013	"BLADDER(< 5),HEPATOPANCREATOBILIARY(< 5),ORAL_OROPHARYNGEAL(< 5)"
"58"	673	"MT-RNR1"	"5'Flank"	"T:673:C"	"5"	0.18539767593614	"BREAST(< 5),COLORECTAL(< 5),HAEMONC(< 5),LUNG(< 5)"
"59"	674	"MT-RNR1"	"5'Flank"	"T:674:C"	"8"	0.237013388301515	"BLADDER(< 5),COLORECTAL(< 5),HEPATOPANCREATOBILIARY(< 5),LUNG(< 5),OVARIAN(< 5),RENAL(< 5)"
"60"	675	"MT-RNR1"	"5'Flank"	"A:675:G"	"< 5"	0.0101195952161914	"SARCOMA(< 5)"
"61"	676	"MT-RNR1"	"5'Flank"	"G:676:A"	"18"	0.218427947379907	"BREAST(< 5),COLORECTAL(5),ENDOMETRIAL_CARCINOMA(< 5),HEPATOPANCREATOBILIARY(< 5),LUNG(< 5),ORAL_OROPHARYNGEAL(< 5),RENAL(< 5),UPPER_GASTROINTESTINAL(< 5)"
"62"	678	"MT-RNR1"	"5'Flank"	"T:678:C"	"< 5"	0.0134329685970999	"RENAL(< 5)"
"63"	679	"MT-RNR1"	"5'Flank"	"C:679:A"	"< 5"	0.089703722612283	"COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5)"
"64"	680	"MT-RNR1"	"5'Flank"	"T:680:C"	"< 5"	0.013533470022734	"HAEMONC(< 5),RENAL(< 5),SARCOMA(< 5)"
"65"	681	"MT-RNR1"	"5'Flank"	"T:681:C"	"< 5"	0.0176679473745488	"HEPATOPANCREATOBILIARY(< 5)"
"66"	683	"MT-RNR1"	"5'Flank"	"G:683:A"	"5"	0.3137160545085	"BREAST(< 5),COLORECTAL(< 5)"
"67"	684	"MT-RNR1"	"5'Flank"	"T:684:C"	"6"	0.206731745145324	"BREAST(< 5),ENDOMETRIAL_CARCINOMA(< 5),PROSTATE(< 5),RENAL(< 5),UPPER_GASTROINTESTINAL(< 5)"
"68"	684	"MT-RNR1"	"5'Flank"	"T:684:G"	"< 5"	0.946518472202758	"BLADDER(< 5)"
"69"	686	"MT-RNR1"	"5'Flank"	"A:686:G"	"< 5"	0.0185256772428559	"OVARIAN(< 5)"
"70"	687	"MT-RNR1"	"5'Flank"	"G:687:A"	"< 5"	0.229350851620555	"BREAST(< 5),COLORECTAL(< 5),HAEMONC(< 5)"
"71"	688	"MT-RNR1"	"5'Flank"	"A:688:G"	"< 5"	0.029688919164396	"BREAST(< 5)"
"72"	689	"MT-RNR1"	"5'Flank"	"T:689:C"	"< 5"	0.531397511085682	"RENAL(< 5)"
"73"	692	"MT-RNR1"	"5'Flank"	"C:692:T"	"< 5"	0.01831121612243	"COLORECTAL(< 5),OVARIAN(< 5)"
"74"	694	"MT-RNR1"	"5'Flank"	"C:694:T"	"< 5"	0.0124798584562889	"HEPATOPANCREATOBILIARY(< 5)"
"75"	695	"MT-RNR1"	"5'Flank"	"A:695:G"	"< 5"	0.0210409745293466	"BREAST(< 5)"
"76"	697	"MT-RNR1"	"5'Flank"	"G:697:A"	"< 5"	0.475463130898927	"RENAL(< 5),TESTICULAR_GERM_CELL_TUMOURS(< 5)"
"77"	700	"MT-RNR1"	"5'Flank"	"A:700:G"	"< 5"	0.277078085642317	"LUNG(< 5)"
"78"	701	"MT-RNR1"	"5'Flank"	"G:701:A"	"< 5"	0.420915442661093	"BREAST(< 5),RENAL(< 5)"
"79"	704	"MT-RNR1"	"5'Flank"	"T:704:C"	"< 5"	0.459230090344361	"BREAST(< 5),ENDOMETRIAL_CARCINOMA(< 5)"
"80"	707	"MT-RNR1"	"5'Flank"	"C:707:T"	"< 5"	0.0630289627014843	"LUNG(< 5)"
"81"	709	"MT-RNR1"	"5'Flank"	"G:709:A"	"170"	0.169177765436775	"ADULT_GLIOMA(< 5),BLADDER(< 5),BREAST(38),CARCINOMA_OF_UNKNOWN_PRIMARY(< 5),CHILDHOOD(< 5),COLORECTAL(43),ENDOMETRIAL_CARCINOMA(9),HAEMONC(5),HEPATOPANCREATOBILIARY(< 5),LUNG(18),NASOPHARYNGEAL(< 5),ORAL_OROPHARYNGEAL(< 5),OVARIAN(5),PROSTATE(13),RENAL(12),SARCOMA(12),UPPER_GASTROINTESTINAL(< 5)"
"82"	709	"MT-RNR1"	"5'Flank"	"G:709:C"	"< 5"	0.0104433729272022	"RENAL(< 5)"
"83"	710	"MT-RNR1"	"5'Flank"	"T:710:C"	"6"	0.135746959480211	"BLADDER(< 5),BREAST(< 5),HAEMONC(< 5),LUNG(< 5)"
"84"	710	"MT-RNR1"	"5'Flank"	"T:710:G"	"< 5"	0.0153707730374147	"UPPER_GASTROINTESTINAL(< 5)"
"85"	711	"MT-RNR1"	"5'Flank"	"T:711:C"	"< 5"	0.0148715359760763	"LUNG(< 5),PROSTATE(< 5)"
"86"	712	"MT-RNR1"	"5'Flank"	"C:712:A"	"< 5"	0.0558704070062985	"BREAST(< 5),LUNG(< 5)"
"87"	715	"MT-RNR1"	"5'Flank"	"G:715:A"	"12"	0.135842125394073	"BLADDER(< 5),BREAST(< 5),COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),HAEMONC(< 5),LUNG(< 5),RENAL(< 5)"
"88"	716	"MT-RNR1"	"5'Flank"	"T:716:C"	"< 5"	0.146992829182358	"LUNG(< 5),OVARIAN(< 5),RENAL(< 5)"
"89"	717	"MT-RNR1"	"5'Flank"	"G:717:A"	"5"	0.0813615432804406	"BREAST(< 5),COLORECTAL(< 5),LUNG(< 5),RENAL(< 5)"
"90"	717	"MT-RNR1"	"5'Flank"	"G:717:T"	"< 5"	0.0228717143978031	"BLADDER(< 5)"
"91"	718	"MT-RNR1"	"5'Flank"	"A:718:G"	"< 5"	0.281844329896797	"HAEMONC(< 5)"
"92"	719	"MT-RNR1"	"5'Flank"	"G:719:A"	"8"	0.047097675864771	"BREAST(< 5),ENDOMETRIAL_CARCINOMA(< 5),HEPATOPANCREATOBILIARY(< 5),LUNG(< 5),RENAL(< 5),SARCOMA(< 5),UPPER_GASTROINTESTINAL(< 5)"
"93"	720	"MT-RNR1"	"5'Flank"	"T:720:C"	"5"	0.184656076623065	"ENDOMETRIAL_CARCINOMA(< 5),HAEMONC(< 5),LUNG(< 5),RENAL(< 5)"
"94"	721	"MT-RNR1"	"5'Flank"	"T:721:C"	"6"	0.243479996990469	"BREAST(< 5),COLORECTAL(< 5),LUNG(< 5),PROSTATE(< 5),SARCOMA(< 5)"
"95"	722	"MT-RNR1"	"5'Flank"	"C:722:T"	"< 5"	0.445305222747368	"COLORECTAL(< 5)"
"96"	723	"MT-RNR1"	"5'Flank"	"A:723:C"	"< 5"	0.198476413712277	"HAEMONC(< 5)"
"97"	723	"MT-RNR1"	"5'Flank"	"A:723:G"	"< 5"	0.0188370003567642	"BREAST(< 5),COLORECTAL(< 5),HAEMONC(< 5)"
"98"	723	"MT-RNR1"	"5'Flank"	"A:723:T"	"< 5"	0.0655820618730507	"ORAL_OROPHARYNGEAL(< 5)"
"99"	724	"MT-RNR1"	"5'Flank"	"C:724:A"	"< 5"	0.0246508058326938	"BREAST(< 5)"
"100"	724	"MT-RNR1"	"5'Flank"	"C:724:T"	"< 5"	0.0173397216518366	"BREAST(< 5)"
"101"	727	"MT-RNR1"	"5'Flank"	"T:727:C"	"12"	0.271880682448367	"ADULT_GLIOMA(< 5),BREAST(5),COLORECTAL(5),SARCOMA(< 5)"
"102"	728	"MT-RNR1"	"5'Flank"	"C:728:A"	"< 5"	0.014550853749072	"ENDOMETRIAL_CARCINOMA(< 5)"
"103"	729	"MT-RNR1"	"5'Flank"	"T:729:C"	"< 5"	0.0938336042330734	"BLADDER(< 5),COLORECTAL(< 5),SARCOMA(< 5)"
"104"	733	"MT-RNR1"	"5'Flank"	"T:733:C"	"< 5"	0.0912385516115553	"BREAST(< 5),LUNG(< 5)"
"105"	734	"MT-RNR1"	"5'Flank"	"C:734:T"	"< 5"	0.174522975504262	"COLORECTAL(< 5),HAEMONC(< 5)"
"106"	735	"MT-RNR1"	"5'Flank"	"A:735:G"	"< 5"	0.0101279872359613	"BREAST(< 5)"
"107"	735	"MT-RNR1"	"5'Flank"	"A:735:T"	"< 5"	0.0218289342088098	"RENAL(< 5)"
"108"	736	"MT-RNR1"	"5'Flank"	"C:736:T"	"< 5"	0.0132254849344476	"COLORECTAL(< 5)"
"109"	737	"MT-RNR1"	"5'Flank"	"C:737:T"	"< 5"	0.0477516877495999	"HAEMONC(< 5),PROSTATE(< 5)"
"110"	740	"MT-RNR1"	"5'Flank"	"G:740:A"	"12"	0.255601604946275	"BLADDER(< 5),BREAST(< 5),COLORECTAL(< 5),ENDOCRINE(< 5),ENDOMETRIAL_CARCINOMA(< 5),LUNG(< 5),UPPER_GASTROINTESTINAL(< 5)"
"111"	740	"MT-RNR1"	"5'Flank"	"G:740:C"	"< 5"	0.013272257458304	"LUNG(< 5)"
"112"	741	"MT-RNR1"	"5'Flank"	"A:741:G"	"< 5"	0.0110889332446219	"HAEMONC(< 5)"
"113"	742	"MT-RNR1"	"5'Flank"	"T:742:C"	"7"	0.123267038161033	"BREAST(< 5),COLORECTAL(< 5),HAEMONC(< 5),HEPATOPANCREATOBILIARY(< 5),LUNG(< 5),PROSTATE(< 5),SARCOMA(< 5)"
"114"	744	"MT-RNR1"	"5'Flank"	"A:744:C"	"< 5"	0.818227933716605	"OVARIAN(< 5)"
"115"	745	"MT-RNR1"	"5'Flank"	"A:745:G"	"< 5"	0.0166091019910605	"BREAST(< 5)"
"116"	747	"MT-RNR1"	"5'Flank"	"A:747:G"	"< 5"	0.0283580024899709	"HAEMONC(< 5)"
"117"	748	"MT-RNR1"	"5'Flank"	"G:748:A"	"6"	0.199193741536518	"COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),HAEMONC(< 5),LUNG(< 5),RENAL(< 5)"
"118"	750	"MT-RNR1"	"5'Flank"	"A:750:G"	"< 5"	0.0335916833337987	"HAEMONC(< 5),SARCOMA(< 5)"
"119"	752	"MT-RNR1"	"5'Flank"	"C:752:A"	"< 5"	0.0106129113288119	"BREAST(< 5)"
"120"	752	"MT-RNR1"	"5'Flank"	"C:752:T"	"< 5"	0.0687753049115117	"BREAST(< 5),RENAL(< 5)"
"121"	755	"MT-RNR1"	"5'Flank"	"G:755:A"	"6"	0.0527559215016163	"BREAST(< 5),PROSTATE(< 5),RENAL(< 5),SARCOMA(< 5)"
"122"	758	"MT-RNR1"	"5'Flank"	"T:758:C"	"< 5"	0.0388317438261254	"ADULT_GLIOMA(< 5),ENDOMETRIAL_CARCINOMA(< 5)"
"123"	759	"MT-RNR1"	"5'Flank"	"C:759:T"	"< 5"	0.0247460276113571	"LUNG(< 5)"
"124"	762	"MT-RNR1"	"5'Flank"	"G:762:A"	"< 5"	0.275132914850507	"BREAST(< 5)"
"125"	764	"MT-RNR1"	"5'Flank"	"A:764:G"	"< 5"	0.683255040125269	"LUNG(< 5)"
"126"	766	"MT-RNR1"	"5'Flank"	"G:766:A"	"9"	0.0781138565879572	"BREAST(< 5),HEPATOPANCREATOBILIARY(< 5),LUNG(< 5),RENAL(< 5),UPPER_GASTROINTESTINAL(< 5)"
"127"	769	"MT-RNR1"	"5'Flank"	"G:769:A"	"19"	0.0950585181619705	"BLADDER(< 5),BREAST(< 5),COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),HAEMONC(< 5),LUNG(< 5),OVARIAN(< 5),PROSTATE(< 5),SARCOMA(< 5),UPPER_GASTROINTESTINAL(< 5)"
"128"	773	"MT-RNR1"	"5'Flank"	"T:773:C"	"< 5"	0.625053972366149	"BREAST(< 5)"
"129"	774	"MT-RNR1"	"5'Flank"	"G:774:A"	"< 5"	0.594850223738395	"COLORECTAL(< 5),SARCOMA(< 5)"
"130"	775	"MT-RNR1"	"5'Flank"	"C:775:T"	"< 5"	0.87347167470434	"COLORECTAL(< 5)"
"131"	776	"MT-RNR1"	"5'Flank"	"A:776:G"	"< 5"	0.0341880341880342	"BREAST(< 5)"
"132"	777	"MT-RNR1"	"5'Flank"	"G:777:A"	"14"	0.214933678148032	"ADULT_GLIOMA(< 5),BLADDER(< 5),COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),HEPATOPANCREATOBILIARY(< 5),LUNG(< 5),OVARIAN(< 5),PROSTATE(< 5),SARCOMA(< 5),UPPER_GASTROINTESTINAL(< 5)"
"133"	777	"MT-RNR1"	"5'Flank"	"G:777:C"	"< 5"	0.055627557701571	"BREAST(< 5),COLORECTAL(< 5)"
"134"	779	"MT-RNR1"	"5'Flank"	"T:779:C"	"< 5"	0.0205826582592736	"BREAST(< 5),COLORECTAL(< 5)"
"135"	782	"MT-RNR1"	"5'Flank"	"A:782:T"	"< 5"	0.0153426002638927	"BREAST(< 5)"
"136"	784	"MT-RNR1"	"5'Flank"	"A:784:G"	"< 5"	0.0193260016721333	"COLORECTAL(< 5)"
"137"	786	"MT-RNR1"	"5'Flank"	"G:786:A"	"5"	0.221332678734142	"ADULT_GLIOMA(< 5),BREAST(< 5),COLORECTAL(< 5),SARCOMA(< 5)"
"138"	788	"MT-RNR1"	"5'Flank"	"T:788:C"	"< 5"	0.321400023384321	"BREAST(< 5),ENDOMETRIAL_CARCINOMA(< 5),UPPER_GASTROINTESTINAL(< 5)"
"139"	789	"MT-RNR1"	"5'Flank"	"T:789:C"	"< 5"	0.0570479463751118	"BREAST(< 5),HEPATOPANCREATOBILIARY(< 5)"
"140"	791	"MT-RNR1"	"5'Flank"	"G:791:A"	"7"	0.224304390488712	"BREAST(< 5),COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),LUNG(< 5),RENAL(< 5),SINONASAL(< 5)"
"141"	793	"MT-RNR1"	"5'Flank"	"C:793:G"	"< 5"	0.0119255663430421	"COLORECTAL(< 5)"
"142"	794	"MT-RNR1"	"5'Flank"	"T:794:C"	"< 5"	0.195315974109393	"BREAST(< 5)"
"143"	795	"MT-RNR1"	"5'Flank"	"A:795:G"	"< 5"	0.023892081888567	"LUNG(< 5)"
"144"	796	"MT-RNR1"	"5'Flank"	"G:796:A"	"14"	0.226552228620285	"BREAST(< 5),COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),HAEMONC(< 5),LUNG(< 5),OVARIAN(< 5),PROSTATE(< 5),UPPER_GASTROINTESTINAL(< 5)"
"145"	796	"MT-RNR1"	"5'Flank"	"G:796:C"	"< 5"	0.242440150329002	"BREAST(< 5),COLORECTAL(< 5)"
"146"	798	"MT-RNR1"	"5'Flank"	"C:798:T"	"< 5"	0.0115578754158541	"BREAST(< 5)"
"147"	799	"MT-RNR1"	"5'Flank"	"A:799:G"	"< 5"	0.0379019908116386	"ORAL_OROPHARYNGEAL(< 5)"
"148"	800	"MT-RNR1"	"5'Flank"	"C:800:G"	"< 5"	0.904174760014638	"ENDOMETRIAL_CARCINOMA(< 5)"
"149"	800	"MT-RNR1"	"5'Flank"	"C:800:T"	"< 5"	0.0698317327631614	"COLORECTAL(< 5),LUNG(< 5)"
"150"	803	"MT-RNR1"	"5'Flank"	"C:803:T"	"< 5"	0.5505684334859	"RENAL(< 5)"
"151"	806	"MT-RNR1"	"5'Flank"	"C:806:T"	"< 5"	0.0347496860532679	"COLORECTAL(< 5)"
"152"	807	"MT-RNR1"	"5'Flank"	"A:807:G"	"< 5"	0.0398194422053845	"PROSTATE(< 5)"
"153"	809	"MT-RNR1"	"5'Flank"	"G:809:A"	"5"	0.535304608506848	"BREAST(< 5),MALIGNANT_MELANOMA(< 5),RENAL(< 5),SARCOMA(< 5)"
"154"	810	"MT-RNR1"	"5'Flank"	"G:810:A"	"17"	0.376729899330289	"BLADDER(< 5),BREAST(< 5),COLORECTAL(6),ENDOMETRIAL_CARCINOMA(< 5),HAEMONC(< 5),LUNG(< 5),SARCOMA(< 5)"
"155"	811	"MT-RNR1"	"5'Flank"	"G:811:A"	"16"	0.184279232503586	"ADULT_GLIOMA(< 5),BREAST(< 5),COLORECTAL(< 5),LUNG(6),PROSTATE(< 5),RENAL(< 5),SARCOMA(< 5),TESTICULAR_GERM_CELL_TUMOURS(< 5)"
"156"	812	"MT-RNR1"	"5'Flank"	"A:812:G"	"< 5"	0.146460359491256	"BLADDER(< 5)"
"157"	813	"MT-RNR1"	"5'Flank"	"A:813:G"	"< 5"	0.0200093659167365	"COLORECTAL(< 5),HAEMONC(< 5),HEPATOPANCREATOBILIARY(< 5)"
"158"	813	"MT-RNR1"	"5'Flank"	"A:813:T"	"< 5"	0.104013838478549	"COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5)"
"159"	815	"MT-RNR1"	"5'Flank"	"C:815:T"	"< 5"	0.0190660410877028	"CARCINOMA_OF_UNKNOWN_PRIMARY(< 5),LUNG(< 5)"
"160"	817	"MT-RNR1"	"5'Flank"	"G:817:A"	"< 5"	0.035970441208433	"COLORECTAL(< 5)"
"161"	818	"MT-RNR1"	"5'Flank"	"C:818:G"	"< 5"	0.916653059320255	"MALIGNANT_MELANOMA(< 5)"
"162"	820	"MT-RNR1"	"5'Flank"	"G:820:A"	"12"	0.28128812690588	"BREAST(< 5),COLORECTAL(< 5),ENDOMETRIAL_CARCINOMA(< 5),LUNG(< 5),MALIGNANT_MELANOMA(< 5),OVARIAN(< 5),PROSTATE(< 5),UPPER_GASTROINTESTINAL(< 5)"
"163"	821	"MT-RNR1"	"5'Flank"	"T:821:C"	"< 5"	0.282260240126824	"ENDOMETRIAL_CARCINOMA(< 5),SARCOMA(< 5)"
"164"	821	"MT-RNR1"	"5'Flank"	"T:821:G"	"< 5"	0.356902356902357	"RENAL(< 5)"
"165"	822	"MT-RNR1"	"5'Flank"	"G:822:A"	"10"	0.175422696976123	"BLADDER(< 5),BREAST(< 5),COLORECTAL(< 5),HEPATOPANCREATOBILIARY(< 5),LUNG(< 5),PROSTATE(< 5),RENAL(< 5)"
"166"	822	"MT-RNR1"	"5'Flank"	"G:822:C"	"< 5"	0.468890375424892	"ADULT_GLIOMA(< 5),OVARIAN(< 5)"
"167"	823	"MT-RNR1"	"5'Flank"	"A:823:T"	"< 5"	0.0165502631491841	"UPPER_GASTROINTESTINAL(< 5)"
